M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
160630.OF,150205.SZ,150206.SZ,399973.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.0225751366120177,NotTrading,5.0,0.95,0.986,39786393.2,1.022,0.40700000000000003,224771440.2,0.37799999999999995,,,0.7,1535.0839999999998
161721.OF,150207.SZ,150208.SZ,399983.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0197260273972644,Normal,5.0,0.95,0.988,2103845.9,1.0190000000000001,0.344,3121587.6,0.321,,,0.67,6595.175
161026.OF,150209.SZ,150210.SZ,399974.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0194340559038488,Normal,5.0,0.95,0.977,22857960.8,1.0190000000000001,0.5479999999999999,49622049.2,0.515,,,0.767,1229.8935
161028.OF,150211.SZ,150212.SZ,399976.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-15,1.0215640927715568,Normal,5.0,0.95,1.013,13778451.6,1.021,0.785,88354127.2,0.787,,,0.904,2298.96
161223.OF,150213.SZ,150214.SZ,990958.SH,0.035,2.0,0.25,0.5,0.05,0.05,2017-01-03,1.0196721311475465,Normal,5.0,0.95,0.993,10307136.9,1.0190000000000001,0.413,91765946.8,0.387,,,0.703,1336.9505
160224.OF,150215.SZ,150216.SZ,399610.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-01-03,1.017260273972606,Normal,5.0,0.95,0.9940000000000001,21271.1,1.0169,1.05,142842.1,1.0451,,,1.031,4864.092000000001
164905.OF,150217.SZ,150218.SZ,399412.SZ,0.03,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.023238043198595,Normal,5.0,0.95,0.987,15566341.9,1.023,0.586,47847445.2,0.561,,,0.792,2016.7060000000001
164401.OF,150219.SZ,150220.SZ,h30344.CSI,0.045,1.5,0.25,0.5,0.06,0.06,2017-01-03,1.0236065573770419,Normal,5.0,0.95,1.17,15024.5,1.023,0.667,7865263.2,0.833,,,0.9279999999999999,1742.0229
164402.OF,150221.SZ,150222.SZ,399959.SZ,0.05,1.5,0.25,0.5,0.065,0.065,2017-01-03,1.0255737704918055,Normal,5.0,0.95,1.169,133665595.29999998,1.025,0.5579999999999999,172934058.2,0.713,,,0.8690000000000001,1378.5120000000002
161027.OF,150223.SZ,150224.SZ,399975.SZ,0.06,1.5,0.25,0.5,0.06,0.06,2016-12-15,1.0257999494771282,Normal,5.0,0.95,1.1440000000000001,4096164.2,1.025,0.8370000000000001,77458340.6,0.9690000000000001,,,0.997,805.337
160516.OF,150225.SZ,150226.SZ,399966.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-01,1.0238356164383544,Normal,5.0,0.95,1.0,1597484.4,1.0234,1.024,1577011.1,1.0138,,,1.0186,5304.297
160631.OF,150227.SZ,150228.SZ,399986.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-11-01,1.025204918032787,Normal,5.0,0.95,0.986,36038744.2,1.025,0.621,21611826.1,0.591,,,0.8079999999999999,5455.396
160632.OF,150229.SZ,150230.SZ,399987.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.021526835841002,Normal,5.0,0.95,0.9790000000000001,379100.8,1.021,0.603,2426351.8,0.5710000000000001,,,0.7959999999999999,2083.7729999999997
163116.OF,150231.SZ,150232.SZ,399811.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-05-13,1.0012328767123289,Normal,5.0,0.95,0.993,621260.8,1.0009,0.8320000000000001,1512635.8,0.8373,,,0.9191,2293.8320000000003
163117.OF,150233.SZ,150234.SZ,399810.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-05-30,1.0456521739130378,Normal,5.0,0.95,1.0090000000000001,107732.6,1.0452,0.696,188212.9,0.667,,,0.8561,4791.563
160633.OF,150235.SZ,150236.SZ,399975.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-10-31,1.0167213114754052,Normal,5.0,0.95,0.988,3611244.2,1.016,0.815,18778538.8,0.7979999999999999,,,0.907,805.337
160634.OF,150237.SZ,150238.SZ,990827.SH,0.03,1.5,0.25,0.5,0.0475,0.0475,2016-11-01,1.032445355191257,Normal,5.0,0.95,0.9890000000000001,115714.5,1.032,0.9209999999999999,41288.2,0.902,,,0.9670000000000001,1586.2905
161029.OF,150241.SZ,150242.SZ,399986.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0194340559038488,Normal,5.0,0.95,0.977,177078.2,1.0190000000000001,0.738,274938.0,0.7070000000000001,,,0.863,5455.396
160637.OF,150243.SZ,150244.SZ,399006.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.016229508196716,Normal,5.0,0.95,0.977,3786480.1,1.016,0.9109999999999999,17973390.7,0.884,,,0.95,2065.301
160636.OF,150245.SZ,150246.SZ,399970.SZ,0.03,1.5,0.25,0.5,0.0475,0.0475,2016-11-01,1.0351707650273223,Normal,5.0,0.95,1.003,34000.0,1.035,0.9990000000000001,607211.7,0.987,,,1.011,2464.493
164818.OF,150247.SZ,150248.SZ,399971.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.021038251366119,Normal,5.0,0.95,1.038,1054180.6,1.0206,0.512,6068623.1,0.5423,,,0.7815,2307.175
161723.OF,150249.SZ,150250.SZ,399986.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0197260273972644,Normal,5.0,0.95,0.978,67168.2,1.0190000000000001,0.648,110461.0,0.617,,,0.818,5455.396
161724.OF,150251.SZ,150252.SZ,399990.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0197260273972644,Normal,5.0,0.95,0.977,407880.9,1.0190000000000001,0.888,3051620.0,0.847,,,0.9329999999999999,1794.016
161121.OF,150255.SZ,150256.SZ,399986.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-03,1.0510616438355997,Normal,5.0,0.95,1.015,17255.0,1.0506,0.5539999999999999,33493.6,0.5246,,,0.7876,5455.396
161122.OF,150257.SZ,150258.SZ,399993.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-03,1.0458835616438205,Normal,5.0,0.95,1.003,405838.6,1.0455,0.95,458391.9,0.9169,,,0.9812,2446.055
161123.OF,150259.SZ,150260.SZ,399992.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-03,1.0461712328766966,Normal,5.0,0.95,1.004,2235893.0,1.0457,0.737,277092.8,0.7075,,,0.8766,1954.453
