M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
160136.OF,150295.SZ,150296.SZ,399974.SZ,0.035,1.5,0.25,0.5,0.0575,0.0575,2016-12-01,1.05025,Normal,5,0.95,,2992370.0,1.0498,,1945360.0,0.5176,,0.0,0.7837,
165520.OF,150150.SZ,150151.SZ,990823.SH,0.032,1.5,0.25,0.5,0.047,0.047,2016-12-15,1.0206,Normal,5,0.95,,476072.0,1.02,,1740470.0,0.84,,0.0,0.93,
160625.OF,150177.SZ,150178.SZ,399966.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2017-01-03,1.0177,Normal,5,0.95,,5607600.0,1.017,,10826500.0,1.153,,0.0,1.085,
165522.OF,150173.SZ,150174.SZ,990998.SH,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01973,Normal,5,0.95,,1673410.0,1.019,,12232800.0,0.589,,0.0,0.804,
502026.OF,502027.SH,502028.SH,399429.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.03893,Normal,5,0.95,,62454.0,1.039,,78590.0,0.609,,0.0,0.824,
160218.OF,150117.SZ,150118.SZ,399393.SZ,0.04,2.0,0.25,0.5,0.055,0.055,2017-01-03,1.0211,Normal,5,0.95,,8506780.0,1.0206,,31208300.0,0.3956,,0.0,0.7081,
502023.OF,502024.SH,502025.SH,399440.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.03893,Normal,5,0.95,,19940.0,1.039,,430179.0,0.595,,0.0,0.817,
164402.OF,150221.SZ,150222.SZ,399959.SZ,0.05,1.5,0.25,0.5,0.065,0.065,2017-01-03,1.02557,Normal,5,0.95,,133666000.0,1.025,,172934000.0,0.713,,0.0,0.869,
164811.OF,150112.SZ,150113.SZ,399330.SZ,0.035,2.0,0.25,0.5,0.05,0.05,2016-07-01,1.05041,Normal,5,0.95,,102.0,1.05,,20410.9,1.237,,0.0,1.1435,
161812.OF,150018.SZ,150019.SZ,399330.SZ,0.03,2.0,0.25,0.5,0.045,0.045,2017-01-03,1.01747,Normal,5,0.95,,13762800.0,1.017,,149691000.0,0.697,,0.0,0.857,
